"DayOfWeek","Date Reported","Date Occurred","Time Occurred","Area ID","Reporting District","MO Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","DR Number","MonthOccurred","HourOccurred","ReportingDelay"
5,2023-08-18 00:00:00,2023-08-10 00:00:00,1615,2,269,"0605 3026 3029 0947 3101 4024 3401 3701 3064 3103",66,"F","B",101,230215656,8,16,8
2,2023-07-24 00:00:00,2023-07-24 00:00:00,1755,2,246,"0605 3030 4024",31,"F","B",101,230215754,7,17,0
1,2023-08-20 00:00:00,2023-08-20 00:00:00,2130,2,217,"3401 3701 3033 0605 3004 3025 3029 3037 4024 3101",57,"M","B",101,230215743,8,21,0
5,2023-08-24 00:00:00,2023-08-24 00:00:00,1700,2,295,"3008 3025 4002 3033 3035 3036",32,"M","H",101,230216025,8,17,0
6,2023-08-25 00:00:00,2023-08-25 00:00:00,45,2,237,"0605 3006 3028 3033 3035 3037 3039 3101 4024",50,"M","H",101,230216050,8,0,0
6,2023-08-12 00:00:00,2023-08-11 00:00:00,1755,3,335,"3006 3028 3030 4025",22,"M","B",101,230314943,8,17,1
2,2023-08-18 00:00:00,2023-08-14 00:00:00,1500,3,305,"3004 3028 3034 4025",38,"M","B",101,230315265,8,15,4
5,2023-08-17 00:00:00,2023-08-17 00:00:00,1210,3,355,"3002 3006 3028 3034 4025",22,"M","H",101,230315183,8,12,0
6,2023-08-18 00:00:00,2023-08-18 00:00:00,507,3,307,"3004 3026 3034 4025",33,"M","W",101,230315247,8,5,0
6,2023-08-18 00:00:00,2023-08-18 00:00:00,1630,3,377,"3004 3028 4025 3034",48,"M","H",101,230315270,8,16,0
6,2023-08-17 00:00:00,2023-07-28 00:00:00,2140,3,361,"4025 3036 3004 3026 3029 3101",30,"M","B",101,230315199,7,21,20
3,2023-08-16 00:00:00,2023-08-15 00:00:00,2040,3,373,"4025 3008 3024 3029",32,"M","B",101,230315091,8,20,1
4,2023-08-23 00:00:00,2023-08-23 00:00:00,1150,3,301,"3004 3024 3029 4025 3602",31,"M","H",101,230315528,8,11,0
3,2023-08-13 00:00:00,2023-07-25 00:00:00,1810,4,462,"0605 3101 3401 3701 4004 3004 3037 3039 3033 3028",36,"M","H",101,230411303,7,18,19
2,2023-08-14 00:00:00,2023-08-14 00:00:00,515,4,414,"0605 3003 3024 3029 4024 3101 3401 3701 3037 1218",65,"M","I",101,230411345,8,5,0
3,2023-08-15 00:00:00,2023-08-15 00:00:00,545,4,461,"3002 3028 3034 3101 4024 0605 3401 3701 3037 3033",99,"M","H",101,230411374,8,5,0
3,2023-08-15 00:00:00,2023-08-15 00:00:00,955,4,407,"0605 3028 3034 4024 3101 3401 3701 3006 3037 3033",40,"M","H",101,230411385,8,9,0
